sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
3333,32.54882813,-15.87394232,-1.538112643,16.95694841,-29.84288755,-186.4256886,-29.05202177
3334,32.55859375,2.250294906,-0.6737824,16.73082177,3.028761139,-309.1202597,41.63185973
3335,32.56835938,7.636373661,4.191401446,13.56848022,27.74829001,-330.9215256,80.5467335
3336,32.578125,6.213376064,6.012914077,10.76196681,27.71923357,-316.991819,93.79633979
3337,32.58789063,2.381689145,6.780359851,8.11106743,4.134774066,-297.5966879,103.3043233
3338,32.59765625,2.118201046,6.674229363,6.941382267,-31.23139042,-304.4115625,123.5177971
3339,32.60742188,2.311557888,5.41242919,6.589925866,-64.14443594,-309.9641183,152.5080156
3340,32.6171875,1.483589671,5.29487015,5.962472238,-81.53825469,-305.3371388,182.6003739
3341,32.62695313,0.602476396,5.603338869,5.393092856,-96.81575848,-301.7111743,213.070254
3342,32.63671875,0.64871735,5.889462308,5.122107254,-112.1408032,-299.1184054,238.9713556
3343,32.64648438,-0.782642576,5.777794017,4.600164804,-125.8514514,-289.2216523,253.3087304
3344,32.65625,-1.321892938,5.546252081,4.742108114,-136.3066688,-287.7081751,257.8252226
3345,32.66601563,-2.503215201,5.032005163,5.104970479,-145.6500636,-289.250549,255.9828953
3346,32.67578125,-4.590542314,6.286434312,5.1226279,-144.4146148,-292.7856951,249.2529139
3347,32.68554688,-5.113065949,6.056947423,6.038034116,-151.7093964,-301.7843945,234.9341265
3348,32.6953125,-7.296729397,5.551683444,6.52489008,-156.7841014,-308.0019464,220.3279734
3349,32.70507813,-8.229067385,4.99090164,7.657850404,-154.3493524,-320.8163978,208.7601908
3350,32.71484375,-9.96729976,4.321734612,8.757426986,-150.0449371,-333.2889105,196.8947605
3351,32.72460938,-11.71344085,4.61567766,9.178184889,-139.7571175,-347.5985221,184.930304
3352,32.734375,-12.52670692,5.400941648,9.667997055,-128.5633089,-361.3157433,170.8751563
3353,32.74414063,-12.30509419,6.162413474,10.22521457,-120.7898805,-367.215338,158.8653385
3354,32.75390625,-12.42948772,6.45306852,11.46089671,-116.3600254,-366.3612318,142.2968871
3355,32.76367188,-14.90272472,6.983871121,12.7998063,-113.9391872,-360.4417616,121.8493594
3356,32.7734375,-19.68751073,9.209634386,12.69290687,-106.1783278,-358.0994014,94.26097226
3357,32.78320313,-23.36851592,11.36549882,10.88826353,-99.91692033,-369.5629015,64.58115715
3358,32.79296875,-24.26906316,12.27889444,9.184122462,-98.46622618,-386.3494905,39.73150103
3359,32.80273438,-25.48168213,11.05094809,7.418181331,-96.61500528,-387.7482761,19.93417141
3360,32.8125,-27.55164984,6.482545046,5.48923093,-88.90527179,-370.394374,15.40749447
3361,32.82226563,-27.66772103,3.335146374,4.194906067,-63.66243295,-350.9841927,21.52675782
3362,32.83203125,-27.19390806,-1.05279735,-0.58516873,-9.666753532,-301.3241399,33.01906071
3363,32.84179688,-28.01797018,-2.318909384,-6.993244027,33.89286709,-258.9702839,62.38366777
3364,32.8515625,-26.90826782,2.688524701,-8.961987294,24.62359628,-222.8110863,88.06247134
3365,32.86132813,-29.44890125,6.795422898,-12.7748428,-9.32922916,-141.3336836,58.7460018
3366,32.87109375,-34.98758796,7.869458435,-24.17877451,-63.77389258,-37.31593075,-13.47079822
3367,32.88085938,-34.24728889,-3.223762509,-32.84603242,-76.58027627,5.341669066,-89.51173825
3368,32.890625,-23.28603028,-14.72529937,-22.2594474,-0.338713964,18.08908528,-102.6471791
3369,32.90039063,-23.44381997,-14.85790047,-15.09914328,68.47075952,93.94766781,-110.3578286
3370,32.91015625,-10.03299008,-1.250268904,-2.03865698,147.0086437,151.6845078,-110.000335
3371,32.91992188,-0.606901461,16.86969617,18.25817884,93.46879087,156.5386692,-81.94353361
3372,32.9296875,-0.209012674,11.02353753,26.46460922,61.10476651,198.9228418,-119.3455846
3373,32.93945313,-1.214093397,14.49408681,13.66692273,99.18231062,140.5437985,-61.24249884
3374,32.94921875,-4.767397281,11.58915361,-0.068499726,132.1776903,209.2979651,-68.17482806
3375,32.95898438,-19.64451117,11.36723039,8.245170492,91.16618609,387.2593228,-121.1888405
3376,32.96875,-32.00366257,15.45793455,9.115624147,54.11557423,405.3122943,-138.0339624
3377,32.97851563,-23.63421996,8.158707356,4.602881644,10.11325195,282.5737673,-107.7192448
3378,32.98828125,-17.74771178,5.821945223,6.786195,-9.696556669,222.0407065,-70.77171573
3379,32.99804688,-14.80715415,2.923192674,11.70217726,-8.467584014,183.4093158,-46.40944211
3380,33.0078125,-11.65511832,1.86727798,7.997001498,30.96048065,127.1971854,-42.63936234
3381,33.01757813,-12.01500397,11.36792205,5.008493832,57.67167432,98.47242632,-19.65393884
3382,33.02734375,-10.85989163,5.438066678,7.418640592,38.89377462,64.25491472,-24.18758121
3383,33.03710938,-9.590581071,3.489834306,8.796645019,24.5415258,48.57503125,-21.84830205
3384,33.046875,-7.504280164,6.309527485,6.857830959,21.95398569,44.09867753,-13.73429232
3385,33.05664063,-7.440821319,5.959821671,6.767267267,14.39360714,37.36092672,-20.27384393
3386,33.06640625,-7.858914735,4.051642225,7.166692195,8.317647582,34.11763995,-22.41374183
3387,33.07617188,-6.845623483,3.784419159,7.334280164,8.87006429,30.60073474,-18.04325703
3388,33.0859375,-6.597745539,4.156131076,7.403330156,9.638773916,33.39298224,-16.61076514
